Symptom 1,Symptom 2,Symptom 3,Medicine
muscle pain,runny nose,fungal infection,"Cetirizine, Paracetamol"
runny nose,,,Cetirizine
muscle pain,,,Paracetamol
headache,cough,,"Azithromycin, Paracetamol"
inflammation,respiratory infection,,"Azithromycin, Diclofenac"
pain,sore throat,sneezing,"Cetirizine, Azithromycin, Diclofenac"
itchy eyes,,,Cetirizine
runny nose,fever,sneezing,"Cetirizine, Paracetamol"
sore throat,,,Azithromycin
runny nose,nausea,,"Cetirizine, Aciloc"
fever,runny nose,bacterial infection,"Cetirizine, Azithromycin, Paracetamol"
stomach cramps,,,Lomotil
diarrhea,respiratory infection,,"Azithromycin, Lomotil"
respiratory infection,runny nose,bacterial infection,"Cetirizine, Azithromycin"
pain,,,Diclofenac
itchy eyes,respiratory infection,diarrhea,"Cetirizine, Azithromycin, Lomotil"
itchy eyes,runny nose,fungal infection,Cetirizine
headache,runny nose,,"Cetirizine, Paracetamol"
itchy eyes,,,Cetirizine
fever,joint pain,skin rash,"Cetirizine, Paracetamol, Diclofenac"
inflammation,sore throat,cough,"Azithromycin, Diclofenac"
stomach acid,,,Aciloc
heartburn,,,Aciloc
inflammation,fungal infection,headache,"Cetirizine, Paracetamol, Diclofenac"
inflammation,joint pain,pain,Diclofenac
muscle pain,,,Paracetamol
nausea,joint pain,headache,"Aciloc, Paracetamol, Diclofenac"
fever,,,Paracetamol
fever,sore throat,,"Azithromycin, Paracetamol"
cough,stomach cramps,,"Azithromycin, Lomotil"
fungal infection,runny nose,heartburn,"Cetirizine, Aciloc"
fever,joint pain,headache,"Paracetamol, Diclofenac"
muscle pain,,,Paracetamol
runny nose,sneezing,nausea,"Cetirizine, Aciloc"
heartburn,,,Aciloc
joint pain,bacterial infection,respiratory infection,"Azithromycin, Diclofenac"
runny nose,skin rash,sneezing,Cetirizine
heartburn,,,Aciloc
pain,muscle pain,joint pain,"Paracetamol, Diclofenac"
headache,itchy eyes,,"Cetirizine, Paracetamol"
runny nose,diarrhea,,"Cetirizine, Lomotil"
runny nose,stomach cramps,heartburn,"Cetirizine, Aciloc, Lomotil"
heartburn,,,Aciloc
muscle pain,,,Paracetamol
respiratory infection,inflammation,,"Azithromycin, Diclofenac"
stomach cramps,,,Lomotil
muscle pain,,,Paracetamol
stomach acid,skin rash,pain,"Cetirizine, Aciloc, Diclofenac"
skin rash,sneezing,,Cetirizine
bacterial infection,,,Azithromycin
runny nose,itchy eyes,,Cetirizine
heartburn,sore throat,,"Azithromycin, Aciloc"
bacterial infection,itchy eyes,,"Cetirizine, Azithromycin"
sore throat,cough,fever,"Azithromycin, Paracetamol"
runny nose,stomach cramps,,"Cetirizine, Lomotil"
nausea,heartburn,,Aciloc
fever,runny nose,,"Cetirizine, Paracetamol"
bacterial infection,,,Azithromycin
muscle pain,joint pain,,"Paracetamol, Diclofenac"
joint pain,itchy eyes,,"Cetirizine, Diclofenac"
stomach acid,fungal infection,,"Cetirizine, Aciloc"
fungal infection,,,Cetirizine
stomach acid,diarrhea,,"Aciloc, Lomotil"
muscle pain,fungal infection,,"Cetirizine, Paracetamol"
pain,stomach acid,,"Aciloc, Diclofenac"
sneezing,diarrhea,headache,"Cetirizine, Lomotil, Paracetamol"
nausea,heartburn,joint pain,"Aciloc, Diclofenac"
bacterial infection,fungal infection,,"Cetirizine, Azithromycin"
stomach acid,,,Aciloc
stomach acid,cough,sore throat,"Azithromycin, Aciloc"
pain,respiratory infection,bacterial infection,"Azithromycin, Diclofenac"
headache,,,Paracetamol
pain,joint pain,,Diclofenac
bacterial infection,joint pain,respiratory infection,"Azithromycin, Diclofenac"
sneezing,skin rash,,Cetirizine
fever,joint pain,stomach cramps,"Lomotil, Paracetamol, Diclofenac"
diarrhea,,,Lomotil
inflammation,muscle pain,,"Paracetamol, Diclofenac"
runny nose,,,Cetirizine
sneezing,sore throat,,"Cetirizine, Azithromycin"
joint pain,,,Diclofenac
nausea,,,Aciloc
fungal infection,,,Cetirizine
cough,headache,heartburn,"Azithromycin, Paracetamol, Aciloc"
cough,nausea,respiratory infection,"Azithromycin, Aciloc"
itchy eyes,,,Cetirizine
heartburn,,,Aciloc
sore throat,stomach acid,,"Azithromycin, Aciloc"
inflammation,,,Diclofenac
fever,sore throat,bacterial infection,"Azithromycin, Paracetamol"
fever,pain,,"Paracetamol, Diclofenac"
itchy eyes,,,Cetirizine
runny nose,pain,skin rash,"Cetirizine, Diclofenac"
bacterial infection,runny nose,pain,"Cetirizine, Azithromycin, Diclofenac"
itchy eyes,,,Cetirizine
inflammation,sneezing,fever,"Cetirizine, Paracetamol, Diclofenac"
stomach cramps,,,Lomotil
muscle pain,nausea,respiratory infection,"Azithromycin, Aciloc, Paracetamol"
stomach acid,,,Aciloc
sore throat,,,Azithromycin
heartburn,,,Aciloc
runny nose,,,Cetirizine
pain,itchy eyes,muscle pain,"Cetirizine, Paracetamol, Diclofenac"
itchy eyes,heartburn,headache,"Cetirizine, Aciloc, Paracetamol"
muscle pain,,,Paracetamol
itchy eyes,stomach acid,stomach cramps,"Cetirizine, Aciloc, Lomotil"
runny nose,,,Cetirizine
pain,cough,,"Azithromycin, Diclofenac"
muscle pain,skin rash,,"Cetirizine, Paracetamol"
runny nose,,,Cetirizine
itchy eyes,,,Cetirizine
joint pain,stomach cramps,,"Lomotil, Diclofenac"
bacterial infection,,,Azithromycin
sore throat,fungal infection,skin rash,"Cetirizine, Azithromycin"
respiratory infection,,,Azithromycin
sneezing,itchy eyes,diarrhea,"Cetirizine, Lomotil"
sneezing,,,Cetirizine
inflammation,joint pain,,Diclofenac
joint pain,,,Diclofenac
fungal infection,joint pain,nausea,"Cetirizine, Aciloc, Diclofenac"
muscle pain,,,Paracetamol
pain,bacterial infection,diarrhea,"Azithromycin, Lomotil, Diclofenac"
nausea,fever,heartburn,"Aciloc, Paracetamol"
stomach acid,skin rash,,"Cetirizine, Aciloc"
sore throat,diarrhea,inflammation,"Azithromycin, Lomotil, Diclofenac"
cough,itchy eyes,pain,"Cetirizine, Azithromycin, Diclofenac"
itchy eyes,headache,,"Cetirizine, Paracetamol"
stomach cramps,,,Lomotil
pain,diarrhea,,"Lomotil, Diclofenac"
skin rash,heartburn,fungal infection,"Cetirizine, Aciloc"
heartburn,itchy eyes,,"Cetirizine, Aciloc"
stomach cramps,diarrhea,stomach acid,"Aciloc, Lomotil"
sore throat,respiratory infection,runny nose,"Cetirizine, Azithromycin"
sneezing,joint pain,,"Cetirizine, Diclofenac"
sneezing,,,Cetirizine
itchy eyes,,,Cetirizine
diarrhea,,,Lomotil
diarrhea,fungal infection,sneezing,"Cetirizine, Lomotil"
itchy eyes,,,Cetirizine
headache,stomach acid,,"Aciloc, Paracetamol"
cough,skin rash,diarrhea,"Cetirizine, Azithromycin, Lomotil"
heartburn,respiratory infection,muscle pain,"Azithromycin, Aciloc, Paracetamol"
headache,sneezing,diarrhea,"Cetirizine, Lomotil, Paracetamol"
respiratory infection,,,Azithromycin
nausea,fever,stomach cramps,"Aciloc, Lomotil, Paracetamol"
sneezing,itchy eyes,bacterial infection,"Cetirizine, Azithromycin"
itchy eyes,,,Cetirizine
headache,stomach cramps,pain,"Lomotil, Paracetamol, Diclofenac"
nausea,,,Aciloc
joint pain,,,Diclofenac
diarrhea,,,Lomotil
runny nose,joint pain,stomach acid,"Cetirizine, Aciloc, Diclofenac"
stomach cramps,joint pain,,"Lomotil, Diclofenac"
itchy eyes,respiratory infection,,"Cetirizine, Azithromycin"
sneezing,pain,diarrhea,"Cetirizine, Lomotil, Diclofenac"
headache,cough,,"Azithromycin, Paracetamol"
runny nose,,,Cetirizine
nausea,bacterial infection,,"Azithromycin, Aciloc"
cough,fever,,"Azithromycin, Paracetamol"
fever,diarrhea,stomach cramps,"Lomotil, Paracetamol"
stomach cramps,stomach acid,skin rash,"Cetirizine, Aciloc, Lomotil"
respiratory infection,muscle pain,stomach acid,"Azithromycin, Paracetamol, Aciloc"
cough,,,Azithromycin
sneezing,diarrhea,bacterial infection,"Cetirizine, Azithromycin, Lomotil"
runny nose,joint pain,cough,"Cetirizine, Azithromycin, Diclofenac"
itchy eyes,fever,fungal infection,"Cetirizine, Paracetamol"
itchy eyes,stomach acid,,"Cetirizine, Aciloc"
respiratory infection,stomach cramps,runny nose,"Cetirizine, Azithromycin, Lomotil"
nausea,pain,runny nose,"Cetirizine, Aciloc, Diclofenac"
stomach acid,heartburn,nausea,Aciloc
nausea,,,Aciloc
inflammation,nausea,runny nose,"Cetirizine, Aciloc, Diclofenac"
fever,sneezing,,"Cetirizine, Paracetamol"
sore throat,,,Azithromycin
fungal infection,,,Cetirizine
fungal infection,,,Cetirizine
skin rash,,,Cetirizine
stomach cramps,,,Lomotil
bacterial infection,,,Azithromycin
muscle pain,fungal infection,,"Cetirizine, Paracetamol"
skin rash,,,Cetirizine
heartburn,stomach cramps,,"Aciloc, Lomotil"
itchy eyes,,,Cetirizine
itchy eyes,,,Cetirizine
diarrhea,pain,runny nose,"Cetirizine, Lomotil, Diclofenac"
joint pain,muscle pain,,"Paracetamol, Diclofenac"
cough,joint pain,,"Azithromycin, Diclofenac"
muscle pain,,,Paracetamol
fungal infection,runny nose,sore throat,"Cetirizine, Azithromycin"
cough,bacterial infection,,Azithromycin
stomach cramps,diarrhea,runny nose,"Cetirizine, Lomotil"
runny nose,sneezing,,Cetirizine
stomach cramps,,,Lomotil
inflammation,headache,,"Paracetamol, Diclofenac"
heartburn,joint pain,,"Aciloc, Diclofenac"
fungal infection,diarrhea,,"Cetirizine, Lomotil"
inflammation,joint pain,respiratory infection,"Azithromycin, Diclofenac"
inflammation,,,Diclofenac
skin rash,itchy eyes,pain,"Cetirizine, Diclofenac"
stomach cramps,cough,respiratory infection,"Azithromycin, Lomotil"
fever,,,Paracetamol
respiratory infection,fever,,"Azithromycin, Paracetamol"
itchy eyes,,,Cetirizine
inflammation,,,Diclofenac
muscle pain,fever,,Paracetamol
muscle pain,sneezing,fever,"Cetirizine, Paracetamol"
nausea,,,Aciloc
stomach cramps,heartburn,,"Aciloc, Lomotil"
headache,diarrhea,muscle pain,"Lomotil, Paracetamol"
diarrhea,heartburn,,"Aciloc, Lomotil"
diarrhea,,,Lomotil
stomach acid,,,Aciloc
cough,,,Azithromycin
heartburn,,,Aciloc
fever,respiratory infection,,"Azithromycin, Paracetamol"
diarrhea,sore throat,fungal infection,"Cetirizine, Azithromycin, Lomotil"
stomach cramps,itchy eyes,,"Cetirizine, Lomotil"
muscle pain,,,Paracetamol
itchy eyes,,,Cetirizine
headache,inflammation,pain,"Paracetamol, Diclofenac"
bacterial infection,itchy eyes,headache,"Cetirizine, Azithromycin, Paracetamol"
runny nose,,,Cetirizine
sneezing,,,Cetirizine
stomach cramps,headache,,"Lomotil, Paracetamol"
joint pain,runny nose,muscle pain,"Cetirizine, Paracetamol, Diclofenac"
respiratory infection,,,Azithromycin
respiratory infection,heartburn,,"Azithromycin, Aciloc"
headache,,,Paracetamol
nausea,stomach acid,,Aciloc
stomach acid,diarrhea,,"Aciloc, Lomotil"
stomach cramps,,,Lomotil
respiratory infection,,,Azithromycin
itchy eyes,cough,,"Cetirizine, Azithromycin"
muscle pain,stomach cramps,sneezing,"Cetirizine, Lomotil, Paracetamol"
bacterial infection,diarrhea,,"Azithromycin, Lomotil"
inflammation,fever,,"Paracetamol, Diclofenac"
diarrhea,heartburn,,"Aciloc, Lomotil"
itchy eyes,joint pain,,"Cetirizine, Diclofenac"
joint pain,stomach cramps,heartburn,"Aciloc, Lomotil, Diclofenac"
heartburn,nausea,,Aciloc
stomach cramps,sore throat,,"Azithromycin, Lomotil"
heartburn,,,Aciloc
inflammation,muscle pain,bacterial infection,"Azithromycin, Paracetamol, Diclofenac"
pain,inflammation,itchy eyes,"Cetirizine, Diclofenac"
inflammation,pain,itchy eyes,"Cetirizine, Diclofenac"
inflammation,cough,skin rash,"Cetirizine, Azithromycin, Diclofenac"
fever,inflammation,,"Paracetamol, Diclofenac"
itchy eyes,fever,inflammation,"Cetirizine, Paracetamol, Diclofenac"
cough,pain,inflammation,"Azithromycin, Diclofenac"
pain,itchy eyes,,"Cetirizine, Diclofenac"
diarrhea,,,Lomotil
runny nose,,,Cetirizine
joint pain,respiratory infection,,"Azithromycin, Diclofenac"
stomach acid,,,Aciloc
bacterial infection,stomach cramps,joint pain,"Azithromycin, Lomotil, Diclofenac"
fungal infection,headache,inflammation,"Cetirizine, Paracetamol, Diclofenac"
fungal infection,inflammation,diarrhea,"Cetirizine, Lomotil, Diclofenac"
pain,nausea,stomach acid,"Aciloc, Diclofenac"
muscle pain,heartburn,,"Aciloc, Paracetamol"
stomach acid,,,Aciloc
cough,runny nose,,"Cetirizine, Azithromycin"
nausea,muscle pain,,"Aciloc, Paracetamol"
itchy eyes,,,Cetirizine
itchy eyes,,,Cetirizine
bacterial infection,,,Azithromycin
muscle pain,cough,runny nose,"Cetirizine, Azithromycin, Paracetamol"
runny nose,stomach acid,,"Cetirizine, Aciloc"
heartburn,sneezing,headache,"Cetirizine, Aciloc, Paracetamol"
heartburn,sneezing,cough,"Cetirizine, Aciloc, Azithromycin"
heartburn,,,Aciloc
itchy eyes,cough,runny nose,"Cetirizine, Azithromycin"
cough,diarrhea,,"Azithromycin, Lomotil"
skin rash,,,Cetirizine
sore throat,,,Azithromycin
pain,fungal infection,respiratory infection,"Cetirizine, Azithromycin, Diclofenac"
pain,diarrhea,,"Lomotil, Diclofenac"
fever,fungal infection,,"Cetirizine, Paracetamol"
itchy eyes,runny nose,muscle pain,"Cetirizine, Paracetamol"
diarrhea,runny nose,nausea,"Cetirizine, Aciloc, Lomotil"
skin rash,muscle pain,,"Cetirizine, Paracetamol"
fever,joint pain,sore throat,"Azithromycin, Paracetamol, Diclofenac"
heartburn,headache,,"Aciloc, Paracetamol"
stomach cramps,skin rash,muscle pain,"Cetirizine, Lomotil, Paracetamol"
respiratory infection,nausea,muscle pain,"Azithromycin, Aciloc, Paracetamol"
headache,skin rash,,"Cetirizine, Paracetamol"
stomach cramps,,,Lomotil
joint pain,,,Diclofenac
cough,sore throat,stomach cramps,"Azithromycin, Lomotil"
bacterial infection,,,Azithromycin
fever,respiratory infection,nausea,"Azithromycin, Paracetamol, Aciloc"
sneezing,heartburn,fever,"Cetirizine, Aciloc, Paracetamol"
diarrhea,stomach acid,,"Aciloc, Lomotil"
headache,heartburn,muscle pain,"Aciloc, Paracetamol"
inflammation,fungal infection,,"Cetirizine, Diclofenac"
sore throat,,,Azithromycin
headache,,,Paracetamol
fungal infection,skin rash,,Cetirizine
itchy eyes,,,Cetirizine
sore throat,,,Azithromycin
skin rash,inflammation,,"Cetirizine, Diclofenac"
sore throat,diarrhea,stomach acid,"Azithromycin, Lomotil, Aciloc"
bacterial infection,inflammation,,"Azithromycin, Diclofenac"
respiratory infection,muscle pain,headache,"Azithromycin, Paracetamol"
fungal infection,respiratory infection,pain,"Cetirizine, Azithromycin, Diclofenac"
runny nose,sore throat,skin rash,"Cetirizine, Azithromycin"
heartburn,,,Aciloc
pain,nausea,,"Aciloc, Diclofenac"
diarrhea,fever,muscle pain,"Lomotil, Paracetamol"
stomach cramps,,,Lomotil
skin rash,stomach cramps,,"Cetirizine, Lomotil"
skin rash,,,Cetirizine
bacterial infection,,,Azithromycin
muscle pain,respiratory infection,runny nose,"Cetirizine, Azithromycin, Paracetamol"
heartburn,runny nose,fungal infection,"Cetirizine, Aciloc"
itchy eyes,inflammation,,"Cetirizine, Diclofenac"
runny nose,stomach cramps,,"Cetirizine, Lomotil"
fever,muscle pain,,Paracetamol
skin rash,,,Cetirizine
itchy eyes,heartburn,,"Cetirizine, Aciloc"
stomach acid,nausea,muscle pain,"Aciloc, Paracetamol"
nausea,,,Aciloc
nausea,,,Aciloc
joint pain,stomach cramps,,"Lomotil, Diclofenac"
pain,,,Diclofenac
inflammation,muscle pain,diarrhea,"Lomotil, Paracetamol, Diclofenac"
itchy eyes,respiratory infection,,"Cetirizine, Azithromycin"
cough,diarrhea,,"Azithromycin, Lomotil"
skin rash,fungal infection,sore throat,"Cetirizine, Azithromycin"
joint pain,,,Diclofenac
headache,,,Paracetamol
pain,,,Diclofenac
diarrhea,runny nose,,"Cetirizine, Lomotil"
respiratory infection,nausea,,"Azithromycin, Aciloc"
fungal infection,runny nose,joint pain,"Cetirizine, Diclofenac"
stomach cramps,diarrhea,,Lomotil
runny nose,nausea,,"Cetirizine, Aciloc"
fungal infection,,,Cetirizine
bacterial infection,,,Azithromycin
muscle pain,,,Paracetamol
diarrhea,runny nose,,"Cetirizine, Lomotil"
pain,joint pain,headache,"Paracetamol, Diclofenac"
stomach acid,skin rash,,"Cetirizine, Aciloc"
muscle pain,fever,headache,Paracetamol
heartburn,bacterial infection,inflammation,"Azithromycin, Aciloc, Diclofenac"
bacterial infection,fever,,"Azithromycin, Paracetamol"
skin rash,inflammation,,"Cetirizine, Diclofenac"
fever,joint pain,fungal infection,"Cetirizine, Paracetamol, Diclofenac"
nausea,headache,muscle pain,"Aciloc, Paracetamol"
itchy eyes,,,Cetirizine
headache,,,Paracetamol
pain,inflammation,,Diclofenac
headache,nausea,,"Aciloc, Paracetamol"
pain,,,Diclofenac
muscle pain,sneezing,itchy eyes,"Cetirizine, Paracetamol"
cough,pain,,"Azithromycin, Diclofenac"
runny nose,fever,skin rash,"Cetirizine, Paracetamol"
diarrhea,sneezing,,"Cetirizine, Lomotil"
fungal infection,,,Cetirizine
itchy eyes,,,Cetirizine
fever,heartburn,,"Aciloc, Paracetamol"
respiratory infection,headache,muscle pain,"Azithromycin, Paracetamol"
headache,,,Paracetamol
respiratory infection,fever,bacterial infection,"Azithromycin, Paracetamol"
runny nose,sore throat,,"Cetirizine, Azithromycin"
pain,,,Diclofenac
muscle pain,,,Paracetamol
sore throat,muscle pain,runny nose,"Cetirizine, Azithromycin, Paracetamol"
pain,bacterial infection,,"Azithromycin, Diclofenac"
cough,headache,skin rash,"Cetirizine, Azithromycin, Paracetamol"
fungal infection,inflammation,,"Cetirizine, Diclofenac"
heartburn,joint pain,,"Aciloc, Diclofenac"
skin rash,,,Cetirizine
sneezing,,,Cetirizine
respiratory infection,fever,,"Azithromycin, Paracetamol"
diarrhea,,,Lomotil
nausea,heartburn,fungal infection,"Cetirizine, Aciloc"
runny nose,,,Cetirizine
inflammation,,,Diclofenac
diarrhea,sore throat,,"Azithromycin, Lomotil"
pain,,,Diclofenac
respiratory infection,skin rash,stomach cramps,"Cetirizine, Azithromycin, Lomotil"
sore throat,,,Azithromycin
stomach acid,heartburn,runny nose,"Cetirizine, Aciloc"
headache,bacterial infection,,"Azithromycin, Paracetamol"
respiratory infection,,,Azithromycin
nausea,,,Aciloc
fungal infection,joint pain,,"Cetirizine, Diclofenac"
pain,,,Diclofenac
stomach acid,,,Aciloc
bacterial infection,headache,skin rash,"Cetirizine, Azithromycin, Paracetamol"
fungal infection,stomach acid,muscle pain,"Cetirizine, Aciloc, Paracetamol"
nausea,fungal infection,,"Cetirizine, Aciloc"
runny nose,diarrhea,,"Cetirizine, Lomotil"
heartburn,,,Aciloc
respiratory infection,,,Azithromycin
respiratory infection,pain,skin rash,"Cetirizine, Azithromycin, Diclofenac"
bacterial infection,inflammation,sneezing,"Cetirizine, Azithromycin, Diclofenac"
skin rash,sneezing,,Cetirizine
sore throat,pain,sneezing,"Cetirizine, Azithromycin, Diclofenac"
joint pain,,,Diclofenac
cough,headache,,"Azithromycin, Paracetamol"
stomach cramps,diarrhea,stomach acid,"Aciloc, Lomotil"
muscle pain,fever,fungal infection,"Cetirizine, Paracetamol"
bacterial infection,,,Azithromycin
joint pain,cough,stomach cramps,"Azithromycin, Lomotil, Diclofenac"
skin rash,inflammation,,"Cetirizine, Diclofenac"
pain,cough,,"Azithromycin, Diclofenac"
respiratory infection,itchy eyes,stomach cramps,"Cetirizine, Azithromycin, Lomotil"
headache,,,Paracetamol
cough,fever,headache,"Azithromycin, Paracetamol"
skin rash,joint pain,,"Cetirizine, Diclofenac"
bacterial infection,,,Azithromycin
fungal infection,nausea,,"Cetirizine, Aciloc"
diarrhea,pain,,"Lomotil, Diclofenac"
bacterial infection,nausea,,"Azithromycin, Aciloc"
cough,muscle pain,,"Azithromycin, Paracetamol"
cough,sneezing,stomach acid,"Cetirizine, Azithromycin, Aciloc"
bacterial infection,sore throat,headache,"Azithromycin, Paracetamol"
itchy eyes,,,Cetirizine
skin rash,,,Cetirizine
inflammation,,,Diclofenac
pain,headache,,"Paracetamol, Diclofenac"
itchy eyes,,,Cetirizine
respiratory infection,joint pain,skin rash,"Cetirizine, Azithromycin, Diclofenac"
sore throat,,,Azithromycin
fever,skin rash,stomach acid,"Cetirizine, Aciloc, Paracetamol"
cough,itchy eyes,,"Cetirizine, Azithromycin"
headache,runny nose,,"Cetirizine, Paracetamol"
joint pain,,,Diclofenac
runny nose,itchy eyes,nausea,"Cetirizine, Aciloc"
bacterial infection,heartburn,stomach cramps,"Azithromycin, Lomotil, Aciloc"
cough,bacterial infection,,Azithromycin
heartburn,,,Aciloc
skin rash,itchy eyes,muscle pain,"Cetirizine, Paracetamol"
joint pain,runny nose,stomach acid,"Cetirizine, Aciloc, Diclofenac"
runny nose,,,Cetirizine
heartburn,,,Aciloc
skin rash,inflammation,,"Cetirizine, Diclofenac"
pain,,,Diclofenac
muscle pain,fever,,Paracetamol
joint pain,,,Diclofenac
runny nose,muscle pain,,"Cetirizine, Paracetamol"
sore throat,sneezing,,"Cetirizine, Azithromycin"
skin rash,sore throat,fungal infection,"Cetirizine, Azithromycin"
respiratory infection,sneezing,,"Cetirizine, Azithromycin"
sneezing,diarrhea,,"Cetirizine, Lomotil"
pain,fungal infection,,"Cetirizine, Diclofenac"
headache,muscle pain,,Paracetamol
fungal infection,bacterial infection,,"Cetirizine, Azithromycin"
sore throat,,,Azithromycin
diarrhea,joint pain,fever,"Paracetamol, Lomotil, Diclofenac"
runny nose,,,Cetirizine
fungal infection,pain,bacterial infection,"Cetirizine, Azithromycin, Diclofenac"
pain,nausea,sneezing,"Cetirizine, Aciloc, Diclofenac"
muscle pain,nausea,sneezing,"Cetirizine, Aciloc, Paracetamol"
stomach cramps,,,Lomotil
fever,cough,,"Azithromycin, Paracetamol"
stomach cramps,,,Lomotil
headache,muscle pain,,Paracetamol
muscle pain,runny nose,headache,"Cetirizine, Paracetamol"
skin rash,,,Cetirizine
respiratory infection,,,Azithromycin
heartburn,,,Aciloc
fungal infection,bacterial infection,,"Cetirizine, Azithromycin"
skin rash,,,Cetirizine
headache,,,Paracetamol
skin rash,,,Cetirizine
muscle pain,joint pain,,"Paracetamol, Diclofenac"
bacterial infection,joint pain,,"Azithromycin, Diclofenac"
joint pain,,,Diclofenac
joint pain,respiratory infection,muscle pain,"Azithromycin, Paracetamol, Diclofenac"
headache,,,Paracetamol
skin rash,bacterial infection,headache,"Cetirizine, Azithromycin, Paracetamol"
bacterial infection,fungal infection,respiratory infection,"Cetirizine, Azithromycin"
heartburn,cough,headache,"Azithromycin, Aciloc, Paracetamol"
stomach acid,fungal infection,heartburn,"Cetirizine, Aciloc"
muscle pain,diarrhea,,"Lomotil, Paracetamol"
inflammation,headache,stomach cramps,"Lomotil, Paracetamol, Diclofenac"
headache,muscle pain,,Paracetamol
diarrhea,skin rash,fungal infection,"Cetirizine, Lomotil"
stomach cramps,joint pain,,"Lomotil, Diclofenac"
skin rash,itchy eyes,,Cetirizine
headache,fungal infection,,"Cetirizine, Paracetamol"
muscle pain,,,Paracetamol
fever,,,Paracetamol
fever,inflammation,,"Paracetamol, Diclofenac"
headache,,,Paracetamol
joint pain,,,Diclofenac
headache,joint pain,,"Paracetamol, Diclofenac"
stomach cramps,diarrhea,,Lomotil
fever,,,Paracetamol
fever,muscle pain,,Paracetamol
stomach acid,,,Aciloc
skin rash,,,Cetirizine
pain,runny nose,muscle pain,"Cetirizine, Paracetamol, Diclofenac"
fever,,,Paracetamol
diarrhea,,,Lomotil
pain,fever,,"Paracetamol, Diclofenac"
sore throat,fungal infection,inflammation,"Cetirizine, Azithromycin, Diclofenac"
joint pain,bacterial infection,,"Azithromycin, Diclofenac"
fungal infection,fever,,"Cetirizine, Paracetamol"
sneezing,,,Cetirizine
sneezing,muscle pain,stomach acid,"Cetirizine, Aciloc, Paracetamol"
respiratory infection,,,Azithromycin
cough,diarrhea,,"Azithromycin, Lomotil"
respiratory infection,skin rash,,"Cetirizine, Azithromycin"
fungal infection,fever,pain,"Cetirizine, Paracetamol, Diclofenac"
sore throat,fever,,"Azithromycin, Paracetamol"
respiratory infection,nausea,skin rash,"Cetirizine, Azithromycin, Aciloc"
itchy eyes,,,Cetirizine
bacterial infection,inflammation,,"Azithromycin, Diclofenac"
inflammation,,,Diclofenac
bacterial infection,stomach acid,,"Azithromycin, Aciloc"
runny nose,,,Cetirizine
diarrhea,itchy eyes,stomach acid,"Cetirizine, Aciloc, Lomotil"
respiratory infection,,,Azithromycin
stomach acid,inflammation,,"Aciloc, Diclofenac"
skin rash,sneezing,heartburn,"Cetirizine, Aciloc"
skin rash,,,Cetirizine
diarrhea,,,Lomotil
pain,fungal infection,nausea,"Cetirizine, Aciloc, Diclofenac"
nausea,,,Aciloc
fungal infection,headache,joint pain,"Cetirizine, Paracetamol, Diclofenac"
fever,stomach acid,,"Aciloc, Paracetamol"
fungal infection,,,Cetirizine
joint pain,nausea,,"Aciloc, Diclofenac"
fever,,,Paracetamol
nausea,joint pain,itchy eyes,"Cetirizine, Aciloc, Diclofenac"
bacterial infection,headache,,"Azithromycin, Paracetamol"
sore throat,,,Azithromycin
heartburn,sore throat,cough,"Azithromycin, Aciloc"
sneezing,,,Cetirizine
joint pain,diarrhea,,"Lomotil, Diclofenac"
fever,,,Paracetamol
diarrhea,,,Lomotil
fever,joint pain,respiratory infection,"Azithromycin, Paracetamol, Diclofenac"
diarrhea,muscle pain,stomach cramps,"Lomotil, Paracetamol"
sore throat,cough,fungal infection,"Cetirizine, Azithromycin"
joint pain,cough,,"Azithromycin, Diclofenac"
headache,,,Paracetamol
bacterial infection,muscle pain,respiratory infection,"Azithromycin, Paracetamol"
joint pain,pain,,Diclofenac
nausea,,,Aciloc
respiratory infection,diarrhea,bacterial infection,"Azithromycin, Lomotil"
fever,bacterial infection,heartburn,"Azithromycin, Paracetamol, Aciloc"
sneezing,,,Cetirizine
pain,nausea,,"Aciloc, Diclofenac"
pain,sneezing,,"Cetirizine, Diclofenac"
headache,,,Paracetamol
heartburn,fever,inflammation,"Aciloc, Paracetamol, Diclofenac"
fungal infection,,,Cetirizine
fever,fungal infection,,"Cetirizine, Paracetamol"
runny nose,bacterial infection,itchy eyes,"Cetirizine, Azithromycin"
stomach cramps,joint pain,,"Lomotil, Diclofenac"
heartburn,respiratory infection,sneezing,"Azithromycin, Aciloc, Cetirizine"
muscle pain,inflammation,bacterial infection,"Azithromycin, Paracetamol, Diclofenac"
fever,,,Paracetamol
heartburn,sore throat,itchy eyes,"Azithromycin, Aciloc, Cetirizine"
runny nose,,,Cetirizine
bacterial infection,skin rash,,"Cetirizine, Azithromycin"
sore throat,sneezing,,"Cetirizine, Azithromycin"
diarrhea,itchy eyes,pain,"Cetirizine, Lomotil, Diclofenac"
skin rash,joint pain,,"Cetirizine, Diclofenac"
nausea,,,Aciloc
stomach acid,headache,,"Aciloc, Paracetamol"
runny nose,,,Cetirizine
diarrhea,,,Lomotil
muscle pain,joint pain,,"Paracetamol, Diclofenac"
stomach cramps,runny nose,,"Cetirizine, Lomotil"
sneezing,nausea,,"Cetirizine, Aciloc"
sneezing,nausea,runny nose,"Cetirizine, Aciloc"
inflammation,cough,fungal infection,"Cetirizine, Azithromycin, Diclofenac"
pain,itchy eyes,,"Cetirizine, Diclofenac"
